Name,Constellation,RA_deg,Dec_deg,Magnitude
Sirius,CMa,101.287,-16.716,-1.46
Canopus,Car,95.9879,-52.6957,-0.72
Rigil Kentaurus,Cen,219.902,-60.8339,-0.27
Arcturus,Boo,213.915,19.182,-0.05
Vega,Lyr,279.234,38.7837,0.03
Capella,Aur,79.172,45.997,0.08
Rigel,Ori,78.634,-8.202,0.12
Procyon,CMi,114.825,5.225,0.38
Achernar,Eri,24.428,-57.236,0.46
Betelgeuse,Ori,88.793,7.407,0.5
Hadar,Cen,210.955,-60.373,0.61
Altair,Aql,297.695,8.868,0.77
Acrux,Cru,186.65,-63.1,0.77
Aldebaran,Tau,68.98,16.509,0.85
Antares,Sco,247.351,-26.432,1.06
Spica,Vir,201.298,-11.161,0.98
Pollux,Gem,116.329,28.026,1.14
Fomalhaut,PsA,344.412,-29.622,1.16
Deneb,Cyg,310.358,45.28,1.25
Mimosa,Cru,191.93,-59.688,1.25
Regulus,Leo,152.093,11.967,1.35
Adhara,CMa,104.657,-28.972,1.5
Castor,Gem,113.65,31.888,1.58
Gacrux,Cru,172.794,-57.114,1.63
Shaula,Sco,263.402,-37.103,1.62
Bellatrix,Ori,81.2828,6.35,1.64
Elnath,Tau,81.572,28.607,1.65
Miaplacidus,Car,138.3,-69.718,1.68
Alnilam,Ori,84.053,-1.201,1.69
Alnair,Gru,332.058,-46.961,1.73
Alioth,UMa,193.507,55.959,1.77
Kaus Australis,Sgr,276.043,-34.384,1.79
Dubhe,UMa,165.931,61.751,1.79
Mirfak,Per,51.08,49.861,1.79
Wezen,CMa,104.656,-26.394,1.83
Sargas,Sco,263.733,-42.997,1.86
Avior,Car,125.628,-59.509,1.86
Alkaid,UMa,206.885,49.313,1.85
Menkalinan,Aur,92.986,44.947,1.9
Atria,TrA,252.166,-69.03,1.92
Alhena,Gem,99.427,16.399,1.93
Peacock,Pav,306.412,-56.736,1.94
Polaris,UMi,37.954,89.264,1.98
Mirzam,CMa,95.674,-17.955,1.98
Alphard,Hya,141.896,-8.658,2.0
Hamal,Ari,31.793,23.462,2.01
Rasalhague,Oph,263.733,12.56,2.07
Eltanin,Dra,270.123,51.488,2.24
Denebola,Leo,177.266,14.572,2.14
Kochab,UMi,222.676,74.156,2.08
Saiph,Ori,86.939,-9.669,2.07
Rasalgethi,Her,262.684,14.39,2.78
Markab,Peg,346.19,15.205,2.49
Scheat,Peg,345.94,28.083,2.42
Enif,Peg,333.992,9.875,2.38
Sadalmelik,Aqr,337.822,-0.02,2.96
Sadalsuud,Aqr,333.0,-5.5,2.87
Nunki,Sgr,283.816,-26.296,2.05
Albireo,Cyg,292.681,27.959,3.05
Alpheratz,And,2.096,29.09,2.07
Furud,CMa,107.097,-28.972,3.0
Zubenelgenubi,Lib,222.719,-16.041,2.75
Kornephoros,Her,243.586,21.489,2.78
Algol,Per,47.042,40.955,2.12
Delta Crucis,Cru,187.792,-58.748,2.79
Eta Carinae,Car,161.264,-59.684,4.5
