HIP,Name,RA_deg,Dec_deg,Magnitude
82514,,252.96763500000003,-38.04738,3.0
87261,,267.464475,-37.043304,3.19
62434,Becrux,191.930385,-59.688764,1.25
63608,Vindemiatrix,195.54416999999998,10.95915,2.85
14135,Menkar,45.56988,4.089734,2.54
113726,,345.480255,42.325979,3.62
14879,,48.018735,-28.987618,3.8
113881,Scheat,345.943515,28.082789,2.44
83895,,257.19671999999997,65.714683,3.17
84345,Rasalgethi,258.661905,14.390333,2.78
107556,,326.760165,-16.127286,2.85
108085,,328.48212,-37.364852,3.0
3179,Shedir,10.126740000000002,56.537331,2.24
3419,Diphda,10.89735,-17.986605,2.04
6686,Ruchbah,21.453239999999997,60.235283,2.66
6537,,21.00585,-8.183257,3.6
6867,,22.091385,-43.318234,3.41
41312,,126.434265,-66.13689,3.77
15900,,51.20331,9.02887,3.61
25859,,82.80313500000001,-35.470519,3.86
26069,,83.40631499999999,-62.489825,3.76
45238,Miaplacidus,138.300615,-69.717208,1.67
5364,,17.147460000000002,-10.182264,3.46
4427,Cih,14.177145,60.71674,2.15
51232,,156.969735,-58.739403,3.81
42911,,131.17125,18.154309,3.94
9347,,30.001260000000002,-21.077831,3.99
9487,,30.511755,2.763759,3.82
20455,,65.73370499999999,17.542514,3.77
9598,,30.85902,72.421294,3.95
21281,,68.49897,-55.044975,3.3
54879,,168.560025,15.42957,3.33
60718,Acrux,186.649665,-63.099092,0.77
46390,Alphard,141.89685,-8.658603,1.99
29655,,93.719415,22.506799,3.31
30122,,95.078295,-30.063367,3.02
31592,,99.17098499999999,-19.255879,3.95
50371,,154.2708,-61.332304,3.39
50191,,153.684105,-42.121942,3.85
43783,,133.761855,-60.644609,3.84
34481,,107.18682,-70.498932,3.78
33152,,103.533135,-24.184211,3.89
54872,Zosma,168.52706999999998,20.523717,2.56
36850,Castor,113.64951,31.888276,1.58
46853,,143.215725,51.6773,3.17
32246,,100.98303,25.131124,3.06
32349,Sirius,101.287215,-16.716116,-1.44
32759,,102.460245,-32.508478,3.5
102618,,311.91897,-9.495776,3.78
69996,,214.85094,-46.058093,3.55
30867,,97.204455,-7.033062,3.76
60129,,184.97649,-0.666803,3.89
104060,,316.23276000000004,43.927852,3.72
35350,,109.52324999999999,16.540383,3.58
83000,,254.417085,9.375033,3.19
37279,Procyon,114.825495,5.224993,0.4
24674,,79.40163,-6.844409,3.59
20885,,67.14372,15.962181,3.84
86263,,264.396675,-15.398557,3.54
86974,,266.614785,27.720676,3.42
28358,,89.88166500000001,54.284656,3.72
75177,,230.4516,-36.261376,3.57
97433,,297.04275,70.26793,3.84
23767,,76.6287,41.234474,3.18
17378,,55.81209,-9.763395,3.52
93085,,284.432505,-21.106654,3.52
27628,,87.739935,-35.768309,3.12
100064,,304.51356,-12.544852,3.58
67464,,207.37617,-41.687709,3.41
89341,,273.44088,-21.058834,3.84
27989,Betelgeuse,88.792935,7.407063,0.45
28103,,89.10123,-14.1677,3.71
98337,,299.689275,19.492148,3.51
110960,,337.207965,-0.019972,3.65
94141,Albaldah,287.440965,-21.023615,2.88
95168,,290.418165,-17.847197,3.92
14354,,46.29405,38.840274,3.32
95853,,292.42647,51.729779,3.76
84379,,258.75796499999996,24.839204,3.12
105199,Alderamin,319.64445,62.585573,2.45
106032,,322.16492999999997,70.560716,3.23
106278,Sadalsuud,322.88973,-5.571172,2.9
61941,Porrima,190.415175,-1.449375,2.74
63613,,195.566385,-71.548855,3.61
87833,Etamin,269.151555,51.488895,2.24
88635,Nash,271.452045,-30.424091,2.98
107089,,325.368795,-77.390046,3.73
59803,Gienah Ghurab,183.95155499999998,-17.541929,2.58
11767,Polaris,37.94625,89.264109,1.97
15863,Mirphak,51.08067,49.86118,1.79
79374,,242.99889000000002,-19.460708,4.0
79593,,243.58641000000003,-3.694323,2.73
80112,,245.297145,-25.592796,2.9
14668,,47.37387,44.857544,3.79
116727,,354.83729999999997,77.632276,3.21
7097,,22.870875,15.345823,3.62
2081,Ankaa,6.5708400000000005,-42.305981,2.4
71681,,219.90519,-60.8383,1.35
765,,2.35254,-45.747426,3.88
2021,,6.418740000000001,-77.254247,2.82
71908,,220.62738,-64.975138,3.18
4436,,14.188274999999999,38.499345,3.86
74785,Zubeneschemali,229.251735,-9.382917,2.61
75097,,230.182245,71.834016,3.0
5165,,16.521105,-46.718414,3.32
78820,Graffias,241.35930000000002,-19.805453,2.56
