Name,RA_deg,Dec_deg,Magnitude
Acamar,44.565311,-40.304672,2.88
Achernar,24.428523,-57.236753,0.45
Achird,12.276213,57.815187,3.46
Acrab,241.3593,-19.805453,2.56
Acrux,186.649563,-63.099093,1.33
Acubens,134.621761,11.8577,4.26
Adhafera,154.172567,23.417312,3.43
Adhara,104.656453,-28.972086,1.5
Ain,67.154163,19.180435,3.53
Aladfar,288.439531,39.14597,4.43
Albaldah,287.440971,-21.023615,2.88
Albali,311.918969,-9.495775,3.78
Albireo,292.680351,27.959692,3.37
Alchiba,182.103402,-24.728875,4.02
Alcor,201.306403,54.987954,3.99
Alcyone,56.871152,24.105136,2.85
Aldebaran,68.980163,16.509302,0.87
Alderamin,319.644885,62.585574,2.45
Aldhanab,328.482192,-37.364855,3.0
Aldhibah,257.19665,65.714684,3.17
Aldulfin,308.303216,11.303261,4.03
Alfirk,322.164987,70.560715,3.23
Algedi,304.513566,-12.544852,3.58
Algenib,3.308963,15.183594,2.83
Algieba,154.993144,19.841489,2.61
Algol,47.042215,40.955648,2.09
Algorab,187.466063,-16.515431,2.94
Alhena,99.42796,16.39928,1.93
Alioth,193.50729,55.959823,1.76
Aljanah,311.552843,33.970257,2.48
Alkaid,206.885157,49.313267,1.85
Alkalurops,231.122618,37.377169,4.31
Alkaphrah,135.906365,47.156525,4.16
Alkarab,351.344931,23.4041,4.42
Alkes,164.943604,-18.298783,4.08
Almaaz,75.492219,43.823307,3.03
Almach,30.974804,42.329725,2.1
Alnair,332.05827,-46.960974,1.73
Alnasl,271.452025,-30.4241,2.98
Alnilam,84.053389,-1.201919,1.69
Alnitak,85.189694,-1.942574,1.74
Alniyat,245.297149,-25.592792,2.9
Alphard,141.896847,-8.658602,1.99
Alphecca,233.67195,26.714693,2.22
Alpheratz,2.096916,29.090431,2.07
Alpherg,22.870873,15.345823,3.83
Alrescha,30.511772,2.763735,3.82
Alsciaukat,125.708792,43.188131,4.25
Alsephina,131.175944,-54.708819,1.99
Alshain,298.828304,6.406763,3.71
Altair,297.695827,8.868321,0.76
Altais,288.13875,67.661541,3.07
Alterf,142.930115,22.96797,4.32
Aludra,111.02376,-29.303106,2.45
Alula Australis,169.545423,31.529161,4.41
Alula Borealis,169.619737,33.094305,3.49
Alzirr,101.322351,12.895592,3.35
Ancha,334.208485,-7.783291,4.17
Ankaa,6.570939,-42.306084,2.4
Anser,292.176375,24.664903,4.44
Antares,247.351915,-26.432003,1.06
Arcturus,213.9153,19.182409,-0.05
Arkab Posterior,290.80474,-44.799779,4.27
Arkab Prior,290.659551,-44.458959,3.96
Arneb,83.182567,-17.822289,2.58
Ascella,285.653043,-29.880063,2.6
Asellus Australis,131.171248,18.154309,3.94
Ashlesha,131.693794,6.418809,3.49
Aspidiske,139.272529,-59.275232,2.21
Athebyne,245.997858,61.514214,2.73
Atik,56.07972,32.28824,3.84
Atlas,57.290597,24.053415,3.62
Atria,252.166229,-69.027712,1.91
Avior,125.62848,-59.509484,1.86
Azha,44.106873,-8.898145,3.89
Azmidi,117.323563,-24.859786,3.45
Baten Kaitos,27.865137,-10.335044,3.74
Beemim,66.009239,-34.016848,3.97
Beid,62.966415,-6.83758,4.04
Bellatrix,81.282764,6.349703,1.64
Betelgeuse,88.792939,7.407064,0.45
Bharani,42.495972,27.260507,3.61
Biham,332.549939,6.197863,3.52
Botein,47.907356,19.726674,4.35
Brachium,226.017567,-25.281961,3.25
Canopus,95.987958,-52.695661,-0.62
Capella,79.172328,45.997991,0.08
Caph,2.294522,59.149781,2.28
Castor,113.649428,31.888276,1.98
Cebalrai,265.868136,4.5673,2.76
Chamukuy,67.165586,15.870882,3.73
Chara,188.435603,41.357479,4.24
Chertan,168.560019,15.429571,3.33
Cor Caroli,194.006943,38.318376,2.89
Cursa,76.96244,-5.086446,2.78
Dabih,305.252803,-14.781405,3.05
Dalim,48.018864,-28.98762,3.86
Deneb,310.35798,45.280339,1.25
Deneb Algedi,326.760184,-16.127287,2.85
Denebola,177.26491,14.572058,2.14
Diphda,10.897379,-17.986606,2.04
Dschubba,240.083359,-22.62171,2.29
Dubhe,165.931965,61.751035,1.81
Edasich,231.232396,58.966063,3.29
Electra,56.218904,24.113336,3.72
Elnath,81.572971,28.607452,1.65
Eltanin,269.151541,51.488896,2.24
Enif,326.046484,9.875009,2.38
Errai,354.836655,77.632313,3.21
Fang,239.712972,-26.114108,2.89
Fawaris,296.243658,45.13081,2.9
Fomalhaut,344.412693,-29.622237,1.17
Fulu,9.242851,53.896908,3.69
Fumalsamakah,345.969225,3.820045,4.48
Furud,95.0783,-30.063367,3.02
Fuyue,267.464503,-37.043305,3.19
Gacrux,187.791498,-57.113213,1.59
Giausar,172.85092,69.331075,3.82
Gienah,183.951543,-17.541929,2.58
Ginan,185.340039,-60.401147,3.59
Gomeisa,111.787674,8.289316,2.89
Grumium,268.382207,56.872646,3.73
Hadar,210.955856,-60.373035,0.61
Haedus,76.628722,41.234476,3.18
