name,ra_deg,dec_deg,mag,type,common_name
M1,83.6331,22.0145,8.4,Supernova Remnant,Crab Nebula
M2,323.3625,-0.8233,6.5,Globular Cluster,
M3,205.5484,28.3772,6.2,Globular Cluster,
M4,245.8963,-26.5258,5.9,Globular Cluster,
M5,229.6392,2.0810,5.6,Globular Cluster,
M6,265.0792,-32.2167,4.2,Open Cluster,Butterfly Cluster
M7,268.4625,-34.7933,3.3,Open Cluster,Ptolemy Cluster
M8,270.9250,-24.3850,6.0,Nebula,Lagoon Nebula
M9,262.8967,-18.5164,7.7,Globular Cluster,
M10,254.2879,-4.1003,6.6,Globular Cluster,
M11,282.7708,-6.2717,5.8,Open Cluster,Wild Duck Cluster
M12,251.8083,-1.9483,6.6,Globular Cluster,
M13,250.4236,36.4613,5.8,Globular Cluster,Hercules Cluster
M14,264.4000,-3.2450,7.6,Globular Cluster,
M15,322.4938,12.1668,6.2,Globular Cluster,
M16,274.7000,-13.8067,6.0,Cluster + Nebula,Eagle Nebula
M17,275.1000,-16.1750,6.0,Cluster + Nebula,Omega Nebula
M18,274.9633,-17.1042,7.5,Open Cluster,
M19,255.6579,-26.2670,6.8,Globular Cluster,
M20,270.6667,-23.0133,6.3,Nebula,Trifid Nebula
M21,271.1000,-22.5000,6.5,Open Cluster,
M22,279.0996,-23.9048,5.1,Globular Cluster,
M23,269.1500,-19.0167,6.9,Open Cluster,
M24,274.0000,-18.4667,4.6,Star Cloud,Sagittarius Star Cloud
M25,277.0000,-19.2500,4.6,Open Cluster,
M26,281.2500,-9.3833,8.0,Open Cluster,
M27,299.9000,22.7167,7.4,Planetary Nebula,Dumbbell Nebula
M28,276.1375,-24.8717,6.9,Globular Cluster,
M29,305.0833,38.5333,6.6,Open Cluster,
M30,325.0921,-23.1790,7.2,Globular Cluster,
M31,10.6847,41.2692,3.4,Spiral Galaxy,Andromeda Galaxy
M32,10.6750,40.8652,8.2,Elliptical Galaxy,
M33,23.4621,30.6602,5.7,Spiral Galaxy,Triangulum Galaxy
M34,40.5167,42.7833,5.2,Open Cluster,
M35,92.2250,24.3333,5.1,Open Cluster,
M36,84.0833,34.1333,6.0,Open Cluster,
M37,88.0833,32.5500,5.6,Open Cluster,
M38,82.1750,35.8500,6.4,Open Cluster,
M39,322.8667,48.4333,4.6,Open Cluster,
M40,184.7396,58.0839,8.0,Double Star,
M41,101.5000,-20.7500,4.5,Open Cluster,
M42,83.8221,-5.3911,4.0,Nebula,Orion Nebula
M43,83.8208,-5.2650,9.0,Nebula,De Mairan's Nebula
M44,130.0250,19.9833,3.7,Open Cluster,Beehive Cluster
