HIP,Name,RA_deg,Dec_deg,Magnitude
80270,,245.78687999999997,47.630112,7.8
80291,,245.84730000000002,-8.982534,8.38
80328,,245.99035499999997,50.202803,8.15
80356,,246.05501999999998,-11.218446,9.87
80405,,246.18216,-34.893758,7.01
80437,,246.28352999999998,-70.960439,9.68
80453,,246.33577499999998,65.559335,9.6
80505,,246.50952,-14.122899,9.84
80533,,246.60871500000002,-72.014132,8.21
80540,,246.659325,-52.081881,9.88
80556,,246.706275,-31.230983,9.27
80612,,246.88845000000003,-10.007904,10.82
80626,,246.94718999999998,-73.086669,8.12
100327,,305.20003499999996,-34.776656,9.21
100337,,305.22987,-16.829819,7.72
100343,,305.247765,27.412866,8.17
100352,,305.28670500000004,-6.355624,7.62
80634,,246.96533999999997,31.876866,10.22
103377,,314.162595,-6.957003,8.11
80646,,246.98835000000003,25.193683,8.18
103391,,314.19771000000003,1.715182,6.89
80656,,247.00519500000001,51.59209,7.3
80677,,247.066905,-16.212186,7.19
80697,,247.14605999999998,49.41558,9.12
80710,,247.180965,51.407738,6.31
103451,,314.381475,-48.620296,8.77
80727,,247.22245500000002,-77.63168,9.17
103577,,314.78565000000003,3.552626,12.03
80836,,247.61801999999997,63.570815,8.12
103644,,314.99292,18.618942,7.12
80889,,247.763355,-18.620579,10.74
103652,,315.01659,7.516197,5.98
80898,,247.80597,22.195458,5.76
103661,,315.04593,-45.620342,9.85
80912,,247.84633499999998,16.41974,7.54
103662,,315.05161499999997,-40.112714,8.31
80913,,247.84668000000002,-55.939823,7.95
103671,,315.08500499999997,-11.008378,7.93
80931,,247.88805000000002,-53.973249,13.12
103672,,315.089115,-13.334772,10.3
80947,,247.930605,-68.913226,10.15
103693,,315.18091499999997,-53.73907,6.26
80952,,247.94166,-2.025381,8.6
103702,,315.21439499999997,68.44486,10.2
80957,,247.96371,-62.290232,7.24
103712,,315.226605,-19.917652,8.55
80958,,247.97343,34.819704,9.73
103715,,315.25536,51.359543,9.13
80960,,247.97634000000002,26.0319,7.73
103724,,315.27027000000004,-0.768816,8.43
80962,,247.98304499999998,-69.309645,9.66
103733,,315.302745,-58.238582,8.71
80969,,248.00885999999997,22.582162,9.06
103740,,315.33389999999997,-33.54416,9.13
80971,,248.01625500000003,3.362077,7.29
103744,,315.34341,-2.514007,7.95
80982,,248.06473499999998,-43.822197,8.89
103752,,315.36675,-68.209593,6.36
80984,,248.07675,-76.51049,8.17
103771,,315.42381,-13.508097,8.97
81002,,248.138535,13.901693,9.2
103779,,315.44773499999997,44.18691,6.76
81023,,248.21511,3.246021,8.82
103800,,315.49433999999997,-6.318749,11.23
103826,,315.597405,-27.044592,9.88
103831,,315.606015,-40.657875,9.85
103833,,315.60792,27.807345,7.33
81072,,248.384205,46.553457,8.47
103863,,315.67896,3.35025,6.62
81094,,248.45694,-66.370925,9.56
103878,,315.733365,12.952162,8.15
81104,,248.47905000000003,68.012994,7.13
103890,,315.75433499999997,15.760523,7.68
103899,,315.78171,-1.308571,7.34
81138,,248.55163499999998,-25.001113,8.21
81237,,248.873655,-18.672361,8.74
104087,,316.3158,15.030321,9.55
81255,,248.95065000000002,-45.678756,8.38
104108,,316.38181499999996,-59.138374,9.42
81265,,248.9682,-25.381552,8.75
81270,,248.982885,79.204742,7.79
104133,,316.467015,39.32649,8.15
81284,,249.029895,58.858548,7.95
104160,,316.55179499999997,-31.036246,8.41
104172,,316.597815,26.924362,6.13
104175,,316.60404,21.635228,9.41
104177,,316.606305,-41.385965,5.55
104183,,316.62271499999997,-68.645914,7.57
104196,,316.65367499999996,48.627825,8.85
104198,,316.65723,-13.504098,8.11
81297,,249.07289999999998,-23.985827,9.82
104230,,316.777335,-18.701528,8.26
81304,,249.09363000000002,-35.255326,4.18
104239,,316.79322,-13.92293,7.12
81320,,249.13347,-67.00491,7.12
81324,,249.14544,-31.490202,8.78
104272,,316.85946,-8.2349,7.02
104275,,316.872345,24.474863,8.92
104278,,316.880535,-38.691418,7.49
81364,,249.24657,58.957365,8.49
104283,,316.90126499999997,51.584036,7.37
81371,,249.27247500000001,-56.556293,9.24
81380,,249.303615,-39.010571,9.82
104302,,316.94547,71.38185,8.43
81439,,249.50540999999998,58.204822,8.99
104326,,317.004525,-46.493053,7.06
81457,,249.56079,-24.887444,9.64
104348,,317.09598,13.423267,7.92
81495,,249.682155,-36.854768,8.66
104380,,317.18604,-6.986459,8.11
81517,,249.75793499999997,-48.747203,8.51
104399,,317.248425,6.723497,8.43
81540,,249.810225,15.060677,8.66
104406,,317.26344,26.989631,7.92
81640,,250.15755000000001,70.570825,7.94
104419,,317.2887,23.728327,9.69
81658,,250.21122000000003,-69.883433,8.47
104430,,317.316705,-0.234923,6.65
81683,,250.28805000000003,17.238186,9.07
104431,,317.31942,-57.865642,7.47
81697,,250.32939,22.43674,7.19
104440,,317.34078,-73.172968,5.67
81725,,250.39505999999997,-42.947809,10.15
104446,,317.369055,-33.181062,10.3
81729,,250.402905,26.91688,5.92
104460,,317.39923500000003,-35.315342,9.62
81731,,250.40649,-27.809676,6.52
104464,,317.42319000000003,-65.088857,9.56
81762,,250.50392999999997,-61.864163,8.98
104465,,317.424735,-12.631863,9.28
81766,,250.52955,-6.935993,8.38
104467,,317.4294,-50.910352,7.72
81791,,250.58323500000003,-46.647278,9.41
104478,,317.46709500000003,16.157416,8.02
104484,,317.49633,49.019013,8.95
81805,,250.63010999999997,-77.547485,8.06
104499,,317.52477,-29.72106,6.66
81820,,250.69509,-62.370051,7.04
104513,,317.55156,10.738874,8.28
81826,,250.710165,31.647653,8.21
104518,,317.56897499999997,58.919459,8.69
81853,,250.773435,-36.634114,8.11
104523,,317.58708,-32.850167,7.25
81854,,250.7757,77.513973,5.99
104536,,317.62890000000004,22.457105,7.7
81883,,250.88736,-71.843119,9.1
104543,,317.653035,66.158181,7.14
81899,,250.93077,-17.514923,9.94
104544,,317.65333499999997,-34.812045,9.49
81900,,250.934865,-47.105707,7.06
104549,,317.669445,-23.311531,8.05
81910,,250.96431,-26.808945,6.72
104562,,317.71251,66.709493,7.34
81915,,250.980015,-48.511592,8.1
104569,,317.746215,26.217639,8.62
81924,,251.00433,42.508582,8.6
104578,,317.763135,-47.339721,9.47
81935,,251.06259,-38.943634,7.52
104590,,317.802195,-42.640274,9.61
81975,,251.186145,32.591928,8.47
104599,,317.84137499999997,41.185159,7.41
81991,,251.24993999999998,6.088161,6.55
104613,,317.874675,-45.07455,10.19
104637,,317.930175,23.584932,8.4
82041,,251.38288500000002,42.447199,8.15
104651,,317.98512,-0.058975,9.33
